genome_id,accession,genbank_accessions,source,checksum,quality_flags
1280.15913,GCA_002905355.1,LKSW00000000,BV-BRC,7eb6a400cf482392734f31a99fd55e106dc46b6bb0af77f2bb0a0c2750615603,WGS;Good
1280.15914,GCA_002905365.1,LKSX00000000,BV-BRC,2ccfc5058adb90e997befff054c513ca379c07240d09a28c273bd3606c1fb544,WGS;Good
1280.15916,GCA_002905405.1,LKSZ00000000,BV-BRC,0043624d42e2fb770f96d22b168a7efba5d9fb67e8156abe8cbb8ff09df179b7,WGS;Good
1280.15915,GCA_002905395.1,LKTB00000000,BV-BRC,56aabc7ef09bc9d2ccb2cc700535eab955e03fc5b597d7bd4bcef48e307bfba4,WGS;Good
1280.15918,GCA_002905455.1,LKTH00000000,BV-BRC,e2ac897cf6561a345b83c68dccf82e8dac5ce05a798b97c80b8f1a845dd7ab93,WGS;Good
1280.15919,GCA_002905475.1,LKTJ00000000,BV-BRC,5f7a825d63f255437363eb00cbec661d6d6dcaef838650823bb776dcc30b1d74,WGS;Good
1280.15917,GCA_002905435.1,LKTG00000000,BV-BRC,0635ad386bec56aab3ca4ab29cc7eabda1847d8480e27ad5c1989808252bcdb3,WGS;Good
1280.15920,GCA_002905495.1,LKUL00000000,BV-BRC,6e8eeca13cf0692101d5cd7f7987a565d50287fee602463d8f02720914f17cd5,WGS;Good
1280.15921,GCA_002905515.1,LKTK00000000,BV-BRC,9f6a5e43488945b842970fe26836b2992d8c69a46efb7a0f73316adccb6c9ba6,WGS;Good
1280.15922,GCA_002905555.1,LKSY00000000,BV-BRC,70ae9b9bd008230d821cb9e1318ca85647c51d5579fc07cb877d64208c4e898c,WGS;Good
1280.15923,GCA_002905535.1,LKUM00000000,BV-BRC,4313e660bb88eb86263391fe01cdfb8b89d76957fb2bdd3555cc6d94633226ad,WGS;Good
1280.15925,GCA_002905595.1,LKTC00000000,BV-BRC,67b15500e0b67c60637a7869d10872a9182ee493eb00286380f117f0097825a3,WGS;Good
1280.15924,GCA_002905575.1,LKTA00000000,BV-BRC,41c2cddcf240b1c55205c56da69be4038ee7d5c56744c0f45e9cb9b7e1b77984,WGS;Good
1280.15926,GCA_002905605.1,LKTD00000000,BV-BRC,65c1e91f9c9f252d62ce7a880933b03cd1911312d3f6bc89fb79b7ccba1e515d,WGS;Good
1280.15927,GCA_002905635.1,LKTE00000000,BV-BRC,76e6dbe5d86c15190194d501c5819fe4e965dbf2f887689fdcca4d93371540ca,WGS;Good
1280.15928,GCA_002905655.1,LKTF00000000,BV-BRC,647c1c7f1e80fbec9bbdfc05acb66aad9a1a5d040115cdbd4a8ad3ae976fc8ad,WGS;Good
1280.16052,GCA_003017755.1,PQWS00000000,BV-BRC,5bf9e180eb4698a03341935dfd02ab69ea0038034845cf05a3892d20c1ce5ea5,WGS;Good
1280.15930,GCA_002909315.1,PQBI00000000,BV-BRC,9cf93d4f412d10bcaaa3ca9cd9ee54a324390ab517692a9a150e1eb621f42036,WGS;Good
1280.15931,GCA_002909325.1,PQBH00000000,BV-BRC,27272521306a05c3cae6f1edb98c15d69393f548545509ad18336f02aa19c891,WGS;Good
1280.15929,GCA_002905675.1,LKTI00000000,BV-BRC,0c9fda111481c788f68b0a91fa11e3e6b2b8828dde5edf3853cfe10e897d33ef,WGS;Good
1280.15938,GCA_002925605.1,PQWV00000000,BV-BRC,11535735d00bde9632aa08e19ed95bf2720514e8eddbfb0b9fd769997ee200b3,WGS;Good
1280.16051,GCA_003017735.1,PQWR00000000,BV-BRC,4e57609f4b03e64ac08308768817055a654d057a6d8cda9eaf7f8374b586f9ef,WGS;Good
1280.16061,GCA_003073635.1,"CP029080,CP029079",BV-BRC,b4cd7dc75eb20f20326970a62155cfb48416ba22a69b6ca00acd97efe1ae7644,Complete;Good
1280.16384,GCA_003073775.1,"CP029086,CP029085",BV-BRC,cb95c79d40ae22f3be5f15e74fb3906815a4aaf9ffc17b5c4dd7734a5c30c088,Complete;Good
1280.16385,GCA_003073755.1,"CP029084,CP029083",BV-BRC,eb208075a644a8524f452568d832185b56868f8f12627c8ca3fe533427c725fa,Complete;Good
1280.16386,GCA_003073715.1,CP029087,BV-BRC,f1e33a30327c84a8245268545ad0e05ca52f86329fe686240257df0a7a8d9a48,Complete;Good
1280.16387,GCA_003073655.1,"CP029082,CP029081",BV-BRC,c354ccf302c724fabf024b7e095a0434fae674982502965fa6728b63f62c9e3a,Complete;Good
1280.16548,GCA_003193665.1,"CP029649,CP029648",BV-BRC,eece1732f56420605403e6781d9eb0ec8a358ba60724b756a849af038471eb48,Complete;Good
1280.16549,GCA_003193685.1,"CP029669,CP029668",BV-BRC,e1249e7d53b5dd6e927a4aa03e9dd75a00378fc5a5b91a6486d7cc4e7538d9f9,Complete;Good
1280.15939,GCA_002925615.1,PQWT00000000,BV-BRC,f06cb14b03bfd3f88a1ca25d68e796988f7a0e36ee3a254b56aa8a399186efea,WGS;Good
1280.16550,GCA_003193705.1,"CP029675,CP029674",BV-BRC,1fe9c55c33569ac84033fc432f3f29704570cbca6613039d3248252d926ac81d,Complete;Good
1280.16436,GCA_003017835.1,PQWU00000000,BV-BRC,b1b4614acebd0920b58aa26354ed0e27da1833174cd93cfb1eb1a3f9725f4c59,WGS;Good
1280.16552,GCA_003193745.1,CP029653,BV-BRC,c581515316e7bd0f8de027be707377bb751ede9c9fa2dc694af75377293c7f30,Complete;Good
1280.16551,GCA_003193725.1,"CP029678,CP029676,CP029677",BV-BRC,aa4220f0a26f714a0516300011cceecda7dafbdea3ecf969440173bd4e858f94,Complete;Good
1280.16553,GCA_003193765.1,"CP029652,CP029650,CP029651",BV-BRC,a6c34149b455cf62a3b60ef1e4451d1fd5d2a8d2f5e47d24b97a455605ac20c4,Complete;Good
1280.16554,GCA_003193785.1,CP029681,BV-BRC,18355027c2a57ec5ba44b1c82d0d1a60ade039fa08c49c95011f00cc1b57d002,Complete;Good
1280.16558,GCA_003194025.1,"CP029680,CP029679",BV-BRC,25b6224f704b2c99522eaaf8c98d1ddae7486b4071d1c0a7262e833a4ad91208,Complete;Good
1280.16557,GCA_003194005.1,"CP029655,CP029654",BV-BRC,ff648e78eb4c60c3e2772c42b913abb3d3baf6cad7e1c60ef19323f1b0ecc719,Complete;Good
1280.16555,GCA_003193885.1,"CP029658,CP029659",BV-BRC,edca3b3637a5f3c3cfef7ea43f48a0df026c1190c6df8c2e67da6209274d388d,Complete;Good
1280.16556,GCA_003193965.1,"CP029667,CP029666",BV-BRC,cfbf5b99ba5a3e37eae2eb30e6e0f38856d2787c61a488b4819ee0bc7d046608,Complete;Good
1280.16568,GCA_003203635.1,"CP029663,CP029661,CP029662",BV-BRC,05b238097d188ac30bdf7444dfb65061bda75a5d808effebbd39aa13102062a6,Complete;Good
1280.16567,GCA_003203615.1,"CP029657,CP029656",BV-BRC,ef54c9251a702327740aa052212310f7ce66ad908f4d12ada0807890fb44b2be,Complete;Good
1280.16569,GCA_003203655.1,"CP029671,CP029670",BV-BRC,ab70d9a679a7184fa5e4f689b58ece30e756bd08e7e8849e5767827e0974c9c4,Complete;Good
1280.16566,GCA_003203595.1,"CP029664,CP029665",BV-BRC,5c7361ec4587a2d79af630da91693119fa96d6fca3d490dd73aa59ed95a89b24,Complete;Good
1280.16570,GCA_003203675.1,"CP029673,CP029672",BV-BRC,4a4fd6d7b749436b6bd5f8833525d159bb5d69b15231557f56fbe0f01474e9de,Complete;Good
1280.16759,GCA_003260465.1,QHCL00000000,BV-BRC,1955c915a375ae4f964201f8fc731adcf0e3e0c51aeb7af3e34580cc5a6854d9,WGS;Good
1280.16760,GCA_003260475.1,QHCM00000000,BV-BRC,fec5b912de32fedf067af905d61ff7f29f000566756c9e2edc33cd9f70b9b01c,WGS;Good
1280.16763,GCA_003261195.1,QLNS00000000,BV-BRC,1273b895e5394e51e334864a124ac87cfd6e2c4fb3512f5c455285e634397073,WGS;Good
1280.16761,GCA_003260525.1,QHCN00000000,BV-BRC,b39a3eedeb9b6f27fa48c78c053f987cd4b29a0df3e05db796408ab2c0769d34,WGS;Good
1280.16772,GCA_003309085.1,PSZS00000000,BV-BRC,267288fd0ab632f319b02f43ccf884766a05b464ae5ee3b82eb866cdda4b5b24,WGS;Good
1280.16768,GCA_003288395.1,"CP030323,CP030324",BV-BRC,34f53e9e0be90bcd15d81fbf2bc1b42fd897cdcb4ca01bb3aa2999944ed192a8,Complete;Good
1280.16762,GCA_003260535.1,QHCO00000000,BV-BRC,23cd64c4bf294acd8e8914a9d722bcfb519f663bd2cded2aee724e4855f6c8ba,WGS;Good
1280.16771,GCA_003309045.1,PSZR00000000,BV-BRC,1cf8d0ae7b0836b12f613c4fc0205c9362020809456ff90d697b31026d6b3a9a,WGS;Good
1280.16773,GCA_003309105.1,PSZT00000000,BV-BRC,c74bfaead56823244813d4222b1bbde8e6847886e636a62cf77e96b26ccfd70c,WGS;Good
1280.16775,GCA_003309145.1,PSZV00000000,BV-BRC,763071046f156f6258fb3e7e85c2faf3f8123027ce0ea83fd01f13e2c79ecdf2,WGS;Good
1280.16774,GCA_003309125.1,PSZU00000000,BV-BRC,a37adf77e7815ae8c316a82c750b47d5d11effbbc178f318cf163b9f77629a79,WGS;Good
1280.16838,GCA_003310395.1,PTCT00000000,BV-BRC,b0254fdced7b760f0cf826ddf9fb7a98c3dbd8f3fb8d9d1dcbf8278a721166b8,WGS;Good
1280.16776,GCA_003309165.1,PSZW00000000,BV-BRC,27922d4c4ef81d3dc54b280f7e79c9fd80967f63c9b5a9fecca8b02707a1b49b,WGS;Good
1280.16839,GCA_003310415.1,PTDA00000000,BV-BRC,29096646503dba2fe73254aa5cc7e2ce05bf4930eb14321c154ecb687e19cbed,WGS;Good
1280.16840,GCA_003310445.1,PTDC00000000,BV-BRC,1fc65a58cb1e4089587a02ce1d60bb1e88f7ed8b6c7fdb94de3609727a499f6d,WGS;Good
1280.16836,GCA_003310385.1,PTCS00000000,BV-BRC,560be1cf064d04b4f128e7c656618ac6ee15e1a2e7608a1f6206b847e0ed3272,WGS;Good
1280.16841,GCA_003310455.1,PTDE00000000,BV-BRC,52d27b792a86db6951d0bf946d66971b470e9859f9dee61dd0a826d3f1f9c830,WGS;Good
1280.16858,GCA_003310805.1,PTCR00000000,BV-BRC,d479b01daa6458f0ea0d7b67eb407efe21684b24b421fa633c9b52ad615948c0,WGS;Good
1280.16862,GCA_003310885.1,PTCX00000000,BV-BRC,ba996aed493a314143fdacefa25199d61ea15d6d25e7d4ce02d931d83347de9c,WGS;Good
1280.16860,GCA_003310835.1,PTCV00000000,BV-BRC,b684797949f481c4f3b04842ac5ef7bbc8343115c3d86cc647bd5caf595f9c7a,WGS;Good
1280.16859,GCA_003310825.1,PTCU00000000,BV-BRC,33edceeaa09ce384c40db7233384fc61635fcb09b8216a6d9cb716629e2c3157,WGS;Good
1280.16861,GCA_003310865.1,PTCW00000000,BV-BRC,bfa338afd9249942a71a7d6b8186d216976e4764e14ca5fde20fe7c48f1ea4b7,WGS;Good
1280.16863,GCA_003310905.1,PTCY00000000,BV-BRC,3c42f0bbf5652c2c79a7eb6287427bcd8502c1f1b42e957090447b12ef7ed1c4,WGS;Good
1280.16864,GCA_003310925.1,PTCZ00000000,BV-BRC,dd844d54f8d8cd053799398f8685bb7aeca036220864a84dfd4e9ddd05853b9b,WGS;Good
1280.16865,GCA_003310935.1,PTDB00000000,BV-BRC,473d9815b61b00fb4ab8da37372097aa0f0dc3a91a50c420ad3f92efc34dbb23,WGS;Good
1280.19785,,,BV-BRC,6eb0eebe0dd8445ef8cfc5495c8460517b1f8bbb92ac59a57b93112cbbaeebbe,WGS;Good
1280.17671,GCA_003330905.1,"CP030326,CP030325",BV-BRC,2b20c2605edfcb135a8e41f55a556f201dbd5d897e09339dd22a44acce27672d,Complete;Good
1280.19784,,,BV-BRC,ada61753cd9131c2949e7c18d466d34ba81ab9a06ec6325d287644cae8ce7479,WGS;Good
1280.17656,GCA_003324235.1,QMGR00000000,BV-BRC,ee7f228e43ae89d85c8488a030cd1c071ad13da9169d829ee5199b138dc78773,WGS;Good
1280.19786,,,BV-BRC,3e1d2b742363237cb07d51c4255c2630f4703b1956df1e5d6977472679b43c4b,WGS;Good
1280.21074,GCA_005774675.1,VBVS00000000,BV-BRC,1149a165fa9aa396613e1bdc4a3866541114ff1155a056f2b9ca123f1cd4f363,WGS;Good
1280.21073,GCA_005774645.1,VALH00000000,BV-BRC,f6b8af5f2943e0bfd527a186fcbc42e075240ad68a2238913fdc69c991c1e473,WGS;Good
1280.21075,GCA_005774725.1,VBVT00000000,BV-BRC,40df61b54b231a9654faab969682c86876b02308a045e6481c00cc2a3086ef01,WGS;Good
1280.25974,,,BV-BRC,0597c1bd8fbe74b9e561f1f98a35f1e2ddb6416760e287c7211c6e03188d9882,WGS;Good
1280.25973,,,BV-BRC,22ab8761c0aae75c194833e720d408046a51de9abfd9ae120676054f1dd9c9c9,WGS;Good
1280.25976,,,BV-BRC,931898f806b31c8c65cb3e0f5cfb1aa99a0a1fe524d0de14f7b31ca6cedd7558,WGS;Good
1280.25975,,,BV-BRC,7ea1a7228013ea4db259c343e1b1d77ea0c376af9a3b7d5fad3cca76ccdb716c,WGS;Good
1280.25972,,,BV-BRC,161f07fbabe7318b31fe07ad87b389dddd206af9b0122857f9c49e2ffb84ff6c,WGS;Good
1280.25978,,,BV-BRC,313468a23bcb1993b847bc8eaa319ac116cf411431b1a3cb656fb41fdf68cee9,WGS;Good
1280.25977,,,BV-BRC,9098d448bd9dcdaf88536de523337deae1af69b2081dd56878c6b43faf998931,WGS;Good
1280.25979,,,BV-BRC,fec27fdeddfc92df241ae4fc56d1b3e2c03c2692e86ab63f2bd121f10ef6c23c,WGS;Good
1280.25980,,,BV-BRC,8b1e09b8d4676d07436e60a464377d60b60f37762e358c86e247aa838cd5a123,WGS;Good
1280.25981,,,BV-BRC,939f2de6a28fec0659ab56bc5c4f7b34808c0c0e5fae4f7c4a1744930539b2c5,WGS;Good
1280.25984,,,BV-BRC,39c16a6aa32996222faa9b0f049f6aad44dc0ad2285980c6c8cd907ceb59a0f8,WGS;Good
1280.25986,,,BV-BRC,85ab48b78ca092f8800e1a95d0e208761e999c3e4b3174e49680c6b754af2b64,WGS;Good
1280.25983,,,BV-BRC,9258ecd07b9984051ac03f93252178d5593bb80816c2c79405c37149ac95b6c2,WGS;Good
1280.25982,,,BV-BRC,b67e4af7676c8571fe7f1290a9e96f3392419bb828940f519a8088f044433eec,WGS;Good
1280.25985,,,BV-BRC,90d66992ec05fc11bacc5361bfd667c3270ee7fccb3505631d9b0dfc8e2bf190,WGS;Good
1280.25988,,,BV-BRC,548939a3029d9075547f8921c9d827ba1ae0eab6f02c393ec4ad0987d1b4c934,WGS;Good
1280.25989,,,BV-BRC,38dd4e8ec55b73308603093a05107f4cd266577d4322ea9f35838c213f985865,WGS;Good
1280.25987,,,BV-BRC,dc0c993912b6f3bbab14841e5a67c07c6a7cac4dc585e8119c9b787c514acd41,WGS;Good
1280.25992,,,BV-BRC,a6b243d12abbb9c9036f7a9c479501792dc1aac4928cb40e945c2872a087ee36,WGS;Good
1280.25993,,,BV-BRC,591e7a8f5872cf73499fe7e04443265af7ceee143b178eb8472614cfa476970e,WGS;Good
1280.25990,,,BV-BRC,a862c01968b2458895269dadd22c1843be2de4ee4e3d7bcc03d92b3e3cea6aa3,WGS;Good
1280.25991,,,BV-BRC,d35a2d3bccdb1ed0154b6c8b5e8e4a148d39ddbce47fd4a1e40f3746acd75a5d,WGS;Good
1280.25994,,,BV-BRC,17d0ed6bd58c0dc38a01ab911e7070fe106f9b8e49acf78e0ef6f1aac6dfaaa3,WGS;Good
1280.25997,,,BV-BRC,d57f5d37144808e5380fed249f91f772b679de55b995ed0d3034284b88d7793f,WGS;Good
1280.25996,,,BV-BRC,76c218cc65016117d0320de755775a3c4eb397af90a5cce97e3a142f738e74cd,WGS;Good
1280.25995,,,BV-BRC,298952e8ead488c9f58a747063104fc159ab2323355e749f732da643f87be985,WGS;Good
1280.26000,,,BV-BRC,6a474b8344f2e2f5bb79d2330a41e9e4f8abeb6d50c751f868487e26c9382d96,WGS;Good
1280.25998,,,BV-BRC,c74d07ec3e15ec6564bc2b842b89a4cadad1e11f73f756c1ee4f30d45f97c25c,WGS;Good
1280.25999,,,BV-BRC,9a1b1beb5036c673e98579f4516f07437363a64c293126615d6d189eacf6bb7d,WGS;Good
1280.26001,,,BV-BRC,de9827d966bea979ae933f87d5d25ecfb3d7a46e61f19a9c05388254a07f3aa1,WGS;Good
1280.26002,,,BV-BRC,35c207a840c8dde3b2eb8ce20ee91c771953d80ca4338292900a7264738226b7,WGS;Good
1280.26004,,,BV-BRC,406a64930184c45294a68125793c4ca447585c3681a657b4926596c63eb060d7,WGS;Good
1280.26005,,,BV-BRC,0efd7a7514a1078e5d5305fbdb31e1b26da515661043f4be8c18fa0fc391312b,WGS;Good
1280.26003,,,BV-BRC,783fba0d0fa716d31dfe1502e02973cd89f836890f51a26d34c6cb0019d66a50,WGS;Good
1280.26007,,,BV-BRC,64af472b70b7bc61c11146e0d955136d00c31e1331ebd37185f4ca50ea8dd720,WGS;Good
1280.26008,,,BV-BRC,a2893157bda941f4bae15f073c09bbdbb6c08164ba396af3ef0d7dc82ab3e26b,WGS;Good
1280.26009,,,BV-BRC,f19004b6efc28ba92f5070c5b3076b854cdb868ae48f23153a9f3d7ac84b5aa5,WGS;Good
1280.26006,,,BV-BRC,4b1a5e264fda02200f272598a144a2aa9bf2cd06e64a3a54f679c704a7a76a29,WGS;Good
1280.26010,,,BV-BRC,5a5d1f957360e1b1c2c936474d0f5f16732ed42a30e2cc4428b8a5b3f7271dfa,WGS;Good
1280.26012,,,BV-BRC,32a4678a09985b96b3b8ab3c37354a6f62d564b3b7bb05cb937d2036ce058fb7,WGS;Good
1280.26011,,,BV-BRC,fc6571c22e654ef34a96e9ffffe2e565fd23c367a9cbaaeb332b88ce7e8f1482,WGS;Good
1280.26013,,,BV-BRC,3d0fe6015aee4e35b90b219162d3c15dcc92e3c904dd5165460bf31f91a16908,WGS;Good
1280.26014,,,BV-BRC,e7642ac3689602bcf90c9e90df079d920b3b57dcb8b9fd3647b7fcc58e879346,WGS;Good
1280.26015,,,BV-BRC,6ff76cd5d2341633acb613f1709075241c5a5b9896aedcb7af97ca664fca63a3,WGS;Good
1280.26016,,,BV-BRC,16750f5927d09fd6a313393f0087da62546358123c19e4506696036fd9a8210a,WGS;Good
1280.26018,,,BV-BRC,365f379ab2210ef9803b547d2b403e4ac19ae929d98d29665883723d05aaad40,WGS;Good
1280.26020,,,BV-BRC,9eb1935ed3d2d0f4c2ff148aee8fb6207a2331efb8a69f111dc42d713a1a31d5,WGS;Good
1280.26017,,,BV-BRC,bcafaccd617076c5467ee8284d442510e799ed50d585fd498e9f12c1ba695266,WGS;Good
1280.26019,,,BV-BRC,92307012407d754e9516a43dc0d15e5df2d8990ba229aa01b5ea599196ef64dd,WGS;Good
1280.26022,,,BV-BRC,4b9a36b0a82d3947e34e3fdb218a0990253b8e0ff7d474d90ba83280ef132189,WGS;Good
1280.26021,,,BV-BRC,6dac05041449438f25b4eb2d4e603423c32c93c8bc4f213e3cec5fe9adc8dc50,WGS;Good
1280.26023,,,BV-BRC,9798a69d23b1db20155ab4244aeaeea9e34accddad2461e68d5a054b7c598416,WGS;Good
1280.26024,,,BV-BRC,f7c4051c6b124ceb68d41412cac5e777e55a06e7e7a076217107fc591f903186,WGS;Good
1280.26026,,,BV-BRC,11b6f8276c4c6a2e5d5ef7fc852f0ee5536b1f29ea4b9f5070a9c41719f3ed9d,WGS;Good
1280.26027,,,BV-BRC,4a61531e64ec8de7d5a54a86e66331c23e0ff839807945f8c06a1f6403e5039b,WGS;Good
1280.26025,,,BV-BRC,ca70274be596831d3ef15fd1426560678e20ee566b84a12ca2534c39888433a0,WGS;Good
1280.26028,,,BV-BRC,eb2ecac421781a681ab22a119a1bc674d20108f8b801750330b6ddf816f2310b,WGS;Good
1280.26031,,,BV-BRC,b94d389b9f90b5f4ba39509d9ae49939ef413a3c60afa3559ca1fb6c5cafc4d9,WGS;Good
